job_id,title,company,location,salary_raw,jd_raw,source,jd_text,salary_min,salary_max,salary_currency,skills
MOCK_001,Senior Python Developer,HK Fintech Ltd,Central,"HK$45,000 - HK$60,000 /month",<p>We are looking for a senior Python developer with experience in <strong>Django</strong> and <strong>AWS</strong>. Knowledge of <strong>PostgreSQL</strong> and <strong>Docker</strong> is required.</p>,jobsdb,We are looking for a senior Python developer with experience in Django and AWS . Knowledge of PostgreSQL and Docker is required.,45000.0,60000.0,HKD,"{'programming_languages': ['Python'], 'frameworks_libraries': ['Django'], 'cloud_devops': ['Aws', 'Docker'], 'databases': ['Postgresql'], 'soft_skills': []}"
MOCK_002,Frontend Engineer (React),Tech Corp HK,Quarry Bay,"HK$600,000 - HK$720,000 per annum",We need a React expert with TypeScript experience. Familiar with Next.js and Tailwind CSS. Agile team player with strong communication skills.,jobsdb,We need a React expert with TypeScript experience. Familiar with Next.js and Tailwind CSS. Agile team player with strong communication skills.,50000.0,60000.0,HKD,"{'programming_languages': ['Typescript'], 'frameworks_libraries': ['Next.js', 'React', 'Tailwind'], 'cloud_devops': [], 'databases': [], 'soft_skills': ['Agile', 'Communication']}"
MOCK_003,Data Scientist,AI Lab HK,Science Park,"HK$50,000 - HK$80,000 /month","Looking for data scientist proficient in Python, TensorFlow, and PyTorch. Experience with Spark and Kafka is a plus. Strong analytical and problem-solving skills.",jobsdb,"Looking for data scientist proficient in Python, TensorFlow, and PyTorch. Experience with Spark and Kafka is a plus. Strong analytical and problem-solving skills.",50000.0,80000.0,HKD,"{'programming_languages': ['Python'], 'frameworks_libraries': ['Kafka', 'Pytorch', 'Spark', 'Tensorflow'], 'cloud_devops': [], 'databases': ['Kafka'], 'soft_skills': ['Analytical', 'Problem.solving']}"
MOCK_004,DevOps Engineer,Cloud Native HK,Kwai Chung,"HK$40,000 - HK$65,000 /month","AWS certified DevOps engineer needed. Must know Kubernetes, Terraform, CI/CD pipelines, and monitoring with Prometheus and Grafana.",jobsdb,"AWS certified DevOps engineer needed. Must know Kubernetes, Terraform, CI/CD pipelines, and monitoring with Prometheus and Grafana.",40000.0,65000.0,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': ['Aws', 'Ci/cd', 'Devops', 'Grafana', 'Kubernetes', 'Prometheus', 'Terraform'], 'databases': [], 'soft_skills': []}"
MOCK_005,Java Spring Boot Developer,Banking Tech,Central,"HK$480,000 - HK$600,000 per annum","Senior Java developer with Spring Boot expertise. Experience in MySQL, Redis, and microservices architecture. Good communication and teamwork skills.",jobsdb,"Senior Java developer with Spring Boot expertise. Experience in MySQL, Redis, and microservices architecture. Good communication and teamwork skills.",40000.0,50000.0,HKD,"{'programming_languages': ['Java'], 'frameworks_libraries': ['Spring', 'Spring boot'], 'cloud_devops': [], 'databases': ['Mysql', 'Redis'], 'soft_skills': ['Communication', 'Teamwork']}"
MOCK_006,Full Stack Engineer,Startup HK,Wong Chuk Hang,"HK$35,000 - HK$55,000 /month","Full stack developer proficient in React, Node.js, and MongoDB. Understanding of Docker and cloud services (AWS/GCP). Self-motivated and independent.",jobsdb,"Full stack developer proficient in React, Node.js, and MongoDB. Understanding of Docker and cloud services (AWS/GCP). Self-motivated and independent.",35000.0,55000.0,HKD,"{'programming_languages': [], 'frameworks_libraries': ['Node.js', 'React'], 'cloud_devops': ['Aws', 'Docker', 'Gcp'], 'databases': ['Mongodb'], 'soft_skills': ['Independent', 'Self.motivated']}"
MOCK_007,Mobile Developer (Flutter),App Studio HK,Causeway Bay,"HK$30,000 - HK$50,000 /month",Flutter developer with Dart experience. Knowledge of Firebase and RESTful APIs. Team player with good presentation skills.,jobsdb,Flutter developer with Dart experience. Knowledge of Firebase and RESTful APIs. Team player with good presentation skills.,30000.0,50000.0,HKD,"{'programming_languages': ['Dart'], 'frameworks_libraries': ['Flutter', 'Restful'], 'cloud_devops': [], 'databases': [], 'soft_skills': ['Presentation']}"
MOCK_008,Machine Learning Engineer,AI Startup,Cyberport,"HK$55,000 - HK$75,000 /month","ML engineer skilled in Python, TensorFlow, and Kubernetes. Experience with MLOps, data pipelines, and model deployment in production.",jobsdb,"ML engineer skilled in Python, TensorFlow, and Kubernetes. Experience with MLOps, data pipelines, and model deployment in production.",55000.0,75000.0,HKD,"{'programming_languages': ['Python'], 'frameworks_libraries': ['Tensorflow'], 'cloud_devops': ['Kubernetes', 'Mlops'], 'databases': [], 'soft_skills': []}"
MOCK_009,Backend Engineer (Go),Trading Firm,Central,"HK$60,000 - HK$90,000 /month","Backend engineer with Go expertise. Strong understanding of distributed systems, Kafka, and Redis. Critical thinking and cross-functional collaboration required.",jobsdb,"Backend engineer with Go expertise. Strong understanding of distributed systems, Kafka, and Redis. Critical thinking and cross-functional collaboration required.",60000.0,90000.0,HKD,"{'programming_languages': ['Go'], 'frameworks_libraries': ['Kafka'], 'cloud_devops': [], 'databases': ['Kafka', 'Redis'], 'soft_skills': ['Collaboration', 'Critical thinking', 'Cross.functional']}"
MOCK_010,Cloud Architect,MNC HK,Kowloon Bay,"HK$80,000 - HK$120,000 /month","Cloud architect with deep AWS knowledge (ECS, EKS, Lambda, RDS). Experience with Terraform, CI/CD, and cloud security. Leadership and stakeholder management skills.",jobsdb,"Cloud architect with deep AWS knowledge (ECS, EKS, Lambda, RDS). Experience with Terraform, CI/CD, and cloud security. Leadership and stakeholder management skills.",80000.0,120000.0,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': ['Aws', 'Ci/cd', 'Ecs', 'Eks', 'Lambda', 'Rds', 'Terraform'], 'databases': [], 'soft_skills': ['Leadership', 'Stakeholder management']}"
